Date,nat_gas GARCHNet | qlike,nat_gas GARCHNet | mse_var,StaticGARCH | qlike,StaticGARCH | mse_var,GJRGARCH | qlike,GJRGARCH | mse_var,EGARCH | qlike,EGARCH | mse_var,EWMA | qlike,EWMA | mse_var
2025-10-21,-5.880882270585648,1.8089863388198774e-06,-5.8642149206631276,1.946705127451744e-06,-5.944814218503017,1.340603898779542e-06,-6.0220499112904085,8.874745842917822e-07,-5.849944911254079,2.0701195376225827e-06
2025-10-22,-5.782787039798168,3.7766023762011237e-07,-5.709852791068739,8.524303447196867e-07,-5.764411494046797,4.821566963739846e-07,-5.808343201240378,2.4861203544843504e-07,-5.697468708859927,9.495665093818292e-07
2025-10-23,-5.52131117241108,7.74976412819286e-10,-5.499202462578156,1.2953249812144065e-07,-5.517108938775232,2.1525180745134484e-08,-5.520346629161293,4.631561964861576e-09,-5.492822074289116,1.7369364057071633e-07
2025-10-24,-5.649301153789386,2.2776482120905532e-08,-5.609333900612897,2.3406122414059496e-07,-5.634566380890098,9.086226110092819e-08,-5.649889534670325,2.0356276669236115e-08,-5.599584577498552,2.9739109781886524e-07
2025-10-27,-5.584719416333188,6.032919110055918e-09,-5.5695846552602735,8.264202861162689e-08,-5.583086736856952,1.4219091889919829e-08,-5.586070729271052,1.329206409415533e-09,-5.562429560529616,1.2397512836096882e-07
2025-10-28,-5.687085928160175,5.170685814334329e-09,-5.650783819362086,1.7314364466811072e-07,-5.6744504407240735,5.548689925442826e-08,-5.6841431155802695,1.5834421985095963e-08,-5.640206958552085,2.33946454389804e-07
2025-10-29,-5.4992234097843715,3.512349799615795e-08,-5.506055030075288,1.2816614205374983e-08,-5.50826781074572,1.7238450837473337e-09,-5.505841565612116,1.1387705055663739e-08,-5.502228884640618,3.341914408031878e-08
2025-10-30,-5.159567910014262,4.382194446545228e-07,-5.237069467899309,1.5366674045690808e-07,-5.203782459233323,2.8964026701437585e-07,-5.174485831284436,3.9116015025606005e-07,-5.247627722789165,1.0348904949826548e-07
2025-10-31,-5.568141676635138,8.50653121180201e-06,-5.691011614533984,6.10301935880586e-06,-5.841851473236417,3.962085879959956e-06,-6.024784019584005,2.2307283126552705e-06,-5.665173921525204,6.5529603507645516e-06
2025-11-03,-5.565498196094111,3.3457063163916613e-06,-5.547899166864785,3.6176338568606167e-06,-5.665816990247379,2.0469936280667303e-06,-5.779191795234317,1.0138510969971852e-06,-5.52302601166594,4.026900615117701e-06
2025-11-04,-5.614444878605074,2.866217759353268e-06,-5.585629841356166,3.267892614124066e-06,-5.703502799601056,1.829307099086381e-06,-5.805056677277303,9.679513988828542e-07,-5.556736815648364,3.706874648318357e-06
2025-11-05,-5.853862105196573,4.009983993076146e-06,-5.8131221478854025,4.510016737141964e-06,-5.9650430490908155,2.872234633840515e-06,-6.110480505927311,1.7895025791375784e-06,-5.771838590368562,5.068910753712785e-06
2025-11-06,-5.65524144006835,1.4531499470956314e-06,-5.608439257383222,1.954255407835965e-06,-5.703505098036526,1.0193777442397388e-06,-5.777168296915619,5.02208729650099e-07,-5.5760175609379194,2.3523047375183296e-06
2025-11-07,-5.9568477091048475,2.7809102293226853e-06,-5.8845181942067555,3.4826579940242976e-06,-6.025024027349413,2.2269288022702563e-06,-6.13534810166094,1.514496740379335e-06,-5.835648818012223,4.03304257962136e-06
2025-11-10,-5.664484575921616,5.627656475351941e-07,-5.608379761483732,1.0243160651788618e-06,-5.6820650627887535,4.4208589777320296e-07,-5.732389828483229,1.574756458073823e-07,-5.576493030730845,1.3415496120101281e-06
2025-11-11,-5.368521133315576,9.33319895223223e-09,-5.357186367768599,9.369162040682341e-08,-5.369942884486018,3.3260011948192374e-10,-5.348135758472006,9.813595156782756e-08,-5.344342575659827,2.065384281914816e-07
2025-11-12,-6.156779182171586,2.507212233530462e-06,-6.06686757776598,3.1852492030739793e-06,-6.222807051717357,2.092113293003614e-06,-6.346840454898473,1.4678017541229502e-06,-6.00429378947476,3.7467545626908756e-06
2025-11-13,-5.823593048659149,5.535281151881147e-07,-5.764629337503801,9.368831728956115e-07,-5.847062335899913,4.2658272617018564e-07,-5.907130090682636,1.6376468581937733e-07,-5.724663455108367,1.2533360417795241e-06
2025-11-14,-5.68779690308242,1.9014242191554171e-07,-5.652358561840066,4.0253607154370403e-07,-5.703793873505003,1.1045350368567315e-07,-5.727554455358035,1.3277083280249531e-08,-5.622729482633739,6.173117102679775e-07
