Date,spy GARCHNet | qlike,spy GARCHNet | mse_var,StaticGARCH | qlike,StaticGARCH | mse_var,GJRGARCH | qlike,GJRGARCH | mse_var,EGARCH | qlike,EGARCH | mse_var,EWMA | qlike,EWMA | mse_var
2025-09-18,-9.791390422031299,2.3098941579458205e-10,-9.667783429929589,5.725142287267773e-10,-9.780898987889406,2.5398432487120484e-10,-9.760922183072896,3.006514865311508e-10,-9.814382852636829,1.8412284125051445e-10
2025-09-19,-9.817115410726933,5.108648389632638e-10,-9.753064071573444,7.051186425032069e-10,-9.892388197376622,3.2915358021968983e-10,-9.901060443061452,3.111136364456671e-10,-9.927996536370133,2.585989245501512e-10
2025-09-22,-9.57191354053013,4.1204795486024833e-10,-9.598163788709503,3.2561060388682865e-10,-9.68534388004165,1.0382045439203495e-10,-9.694430615362768,8.619963767367511e-11,-9.711701382257178,5.555422092837944e-11
2025-09-23,-9.459566013405494,5.844428176808706e-10,-9.54989670291787,2.4347412773905775e-10,-9.627024981029566,5.2808758549403854e-11,-9.64541559848359,2.0912813091094464e-11,-9.643481776621755,2.398697326013906e-11
2025-09-24,-9.532145224830911,7.520261167293079e-10,-9.632505502733405,3.7249522919987663e-10,-9.710331184798548,1.6771813650479291e-10,-9.707577261418134,1.7376802751503343e-10,-9.760529180656752,7.204559854345145e-11
2025-09-25,-9.43720524162849,1.109817231081867e-09,-9.62271371031219,3.0816803692061104e-10,-9.683647470787806,1.512730147486166e-10,-9.647123228042679,2.3979931657176744e-10,-9.741216667464784,4.4049396691371495e-11
2025-09-26,-9.484699422629605,1.5930746236738454e-09,-9.734582127326213,4.665969761230027e-10,-9.790826054435003,3.174959702834213e-10,-9.692872907943931,5.982012760896823e-10,-9.897862223338134,1.1197934380074617e-10
2025-09-29,-9.492623658793782,3.080593327367487e-09,-9.91449135901423,8.40788951075898e-10,-10.018477215547096,5.709813580885655e-10,-9.940782286311896,7.652209344635243e-10,-10.153753465950574,3.198474146809115e-10
2025-09-30,-9.371829760635775,1.5615063214645035e-09,-9.63800316966377,2.7769984863350475e-10,-9.695065796493452,1.3767740012706327e-10,-9.662785621882051,2.1205117576536132e-10,-9.756689672243056,2.9782920312635774e-11
2025-10-01,-9.172432265837065,8.338188084426019e-10,-9.331029811174066,1.908241167785549e-11,-9.338431730303373,5.862089453676565e-13,-9.33855591375087,3.5368890220281454e-13,-9.307155118621562,4.80720768748496e-11
2025-10-02,-9.511092141808547,2.468572893864213e-09,-9.911752735475595,5.918349892697e-10,-10.013302239678223,3.663149274055935e-10,-10.009893726108526,3.727861280500456e-10,-10.143531268245834,1.6720880913572657e-10
2025-10-03,-9.488391796676558,1.6257724300601215e-09,-9.797853270345058,3.313528349456066e-10,-9.86916919971019,1.826849728919976e-10,-9.864831041291755,1.90522022394919e-10,-9.96591696702307,4.499457561646229e-11
2025-10-06,-9.760465546193924,1.780410863415755e-09,-10.085784257935382,6.689457002262816e-10,-10.187517939794509,4.705999053747223e-10,-10.159640809097574,5.197721820149421e-10,-10.39420870751015,2.0353471393369011e-10
