Date,spy GARCHNet | qlike,spy GARCHNet | mse_var,StaticGARCH | qlike,StaticGARCH | mse_var,GJRGARCH | qlike,GJRGARCH | mse_var,EGARCH | qlike,EGARCH | mse_var,EWMA | qlike,EWMA | mse_var
2026-03-16,-9.079124398179058,5.231616149925849e-09,-9.263142030671498,2.754314680753914e-09,-9.075599625494158,5.2916050201556885e-09,-8.73235874947437,1.449760266203278e-08,-9.36108336560607,1.8614393812091994e-09
2026-03-17,-9.075769864836925,5.884376730879119e-09,-9.26611836869317,3.174314518803949e-09,-9.132893695661439,4.930097760680336e-09,-8.845862438478568,1.139330456919716e-08,-9.364972866042171,2.2157151440096978e-09
2026-03-18,-8.666162246266989,8.037298771368596e-10,-8.718838987780511,1.3073922099838975e-10,-8.678832765044557,6.168432913184108e-10,-8.53988859666282,3.525860106249468e-09,-8.732864824611562,4.867459497629241e-12
2026-03-19,-8.731070425758123,1.921077719187431e-09,-8.804592822456888,8.084199293689026e-10,-8.70329390930112,2.44715213595294e-09,-8.497970453359958,8.550215315119715e-09,-8.843705635308208,3.7233003152512963e-10
2026-03-20,-7.979861324583168,6.766947375369821e-10,-7.87258245896271,2.1919609776943227e-09,-7.979947446153066,6.751054078004602e-10,-7.997901293840691,4.89005000689804e-10,-7.778677259264029,3.123441964408469e-09
2026-03-23,-8.56102538962222,1.8611759686179864e-09,-8.62164770896008,7.007443806230456e-10,-8.501257032604741,3.4031390055006998e-09,-8.283876955332822,1.3136258259107298e-08,-8.648876987543524,3.081261664843055e-10
2026-03-24,-8.703306104372581,4.94301424771283e-09,-8.832891092682226,2.240853644338121e-09,-8.694345486672681,5.17719634334871e-09,-8.478005372789418,1.3263328789116667e-08,-8.883534883473658,1.4885910214636495e-09
2026-03-25,-8.79682184612599,4.94102421392131e-09,-8.930611811367172,2.4359009424790287e-09,-8.77492316312023,5.46123676300134e-09,-8.505779549252374,1.5362517164811146e-08,-8.98848085716563,1.6585695793917265e-09
2026-03-26,-8.341009344335948,4.1285788912152966e-10,-8.361507399845692,7.307723745869276e-12,-8.342413592719883,3.8138970680910505e-10,-8.234359190226822,4.001458285983283e-09,-8.351726110717143,1.2627907756914227e-10
2026-03-27,-8.349791357646968,1.6651584655879916e-09,-8.404801715878195,3.096480639962899e-10,-8.317689550892904,2.7066316127142953e-09,-8.158902223419236,1.0797328670086174e-08,-8.417319789297906,8.554542834896028e-11
2026-03-30,-8.10005655792375,4.374722410260748e-10,-8.11432014736977,6.796603960221978e-13,-8.060278006430247,2.0977710923049044e-09,-7.9208801921524055,1.2147613270902924e-08,-8.111970468467609,5.262052353319162e-11
2026-03-31,-7.727132149264136,6.501891645449948e-10,-7.6433674004062615,2.9470743387045956e-09,-7.740929787252221,1.0647077015630555e-10,-7.69545475507768,3.776602332560779e-09,-7.598705372560463,3.861213034775727e-09
2026-04-01,-8.592459074614643,1.747646585250394e-08,-8.648133073838528,1.4882311416349649e-08,-8.681327061271972,1.3493636356066449e-08,-8.507701302699829,2.2149042857463922e-08,-8.690248845885318,1.3139136022485857e-08
2026-04-02,-7.834801966815322,9.937673477567293e-12,-7.834719704189206,1.3261669422575149e-11,-7.831932084889768,1.18856796969335e-10,-7.831063502650947,1.9034017618486216e-10,-7.83213728101013,1.1139810959302406e-10
2026-04-06,-8.883065596148635,1.1746245974374347e-08,-8.811444037599239,1.4102405332875648e-08,-8.848818676639869,1.282539106863507e-08,-8.685225459089164,1.9297363550068368e-08,-8.856047933430984,1.259057218017198e-08
2026-04-07,-8.556271426982896,2.3776129819730636e-09,-8.488767090487434,4.276137990131097e-09,-8.509645799706826,3.6316817473828615e-09,-8.421442882763724,6.7369404399244664e-09,-8.51421667445336,3.4976221329463213e-09
2026-04-08,-9.047400622722412,4.056168998735071e-09,-8.82359808516543,8.888639917313003e-09,-8.847867252343889,8.218260428112565e-09,-8.7003255653392,1.3000362711459054e-08,-8.86426843295782,7.788150705063957e-09
